id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
27,chocó,27425,medio atrato,27425000,bete(medio atrato - chocó),2025,3,11295,4498,100.0,miércoles,2025-03-26 19:15:00,5.8387,medio atrato
27,chocó,27425,medio atrato,27425008,san roque(medio atrato - chocó),2025,3,1152,580,18.86,domingo,2025-03-16 19:00:00,2.8629,medio atrato
27,chocó,27491,novita,27491004,juntas de tamana(novita - chocó),2025,3,0,0,,,,0.0,novita
27,chocó,27495,nuquí,27495000,nuquí(nuquí - chocó),2025,3,304872,96692,616.7,martes,2025-03-25 19:15:00,23.5,nuquí
27,chocó,27495,nuquí,27495001,arusi(nuquí - chocó),2025,3,23912,10510,69.6,sábado,2025-03-29 14:00:00,17.0565,nuquí
27,chocó,27495,nuquí,27495003,jurubira(nuquí - chocó),2025,3,12301,4542,62.23,sábado,2025-03-29 19:30:00,13.4113,nuquí
27,chocó,27495,nuquí,27495008,jovi(nuquí - chocó),2025,3,8108,3161,25.19,lunes,2025-03-31 20:15:00,14.8306,nuquí
27,chocó,27495,nuquí,27495010,termales(nuquí - chocó),2025,3,7524,3867,28.07,sábado,2025-03-29 14:30:00,11.7258,nuquí
27,chocó,27495,nuquí,27495011,comunidad de puerto jagua(nuquí - chocó),2025,3,1101,371,6.36,jueves,2025-03-20 19:00:00,7.4113,nuquí
27,chocó,27495,nuquí,27495012,comunidad indig. puerto indio(nuquí - chocó),2025,3,0,0,,,,0.0,nuquí
27,chocó,27495,nuquí,27495910,comunidad indig. de rio nuquí(nuquí - chocó),2025,3,816,149,5.09,viernes,2025-03-28 19:15:00,9.5323,nuquí
27,chocó,27495,nuquí,27495912,comunidad indígena de pangui - el yucal(nuquí - chocó),2025,3,6864,1810,11.5,domingo,2025-03-02 09:45:00,21.6855,nuquí
27,chocó,27600,río quito,27600001,boca de apartado(rio quito - chocó),2025,3,464,201,6.01,domingo,2025-03-02 19:30:00,3.5081,rio quito
27,chocó,27615,riosucio,27615011,san jose tamboral(riosucio - chocó),2025,3,0,0,,,,0.0,riosucio
27,chocó,27800,unguía,27800000,unguía(unguía - chocó),2025,3,468469,148841,975.74,lunes,2025-03-24 21:30:00,22.3548,unguía
27,chocó,27800,unguía,27800001,balboa(unguía - chocó),2025,3,26807,9815,86.8,sábado,2025-03-08 20:15:00,12.9435,unguía
27,chocó,27800,unguía,27800005,titumate(unguía - chocó),2025,3,15154,3268,65.65,lunes,2025-03-24 19:45:00,11.2419,unguía
44,la guajira,44847,uribia,44847003,cabo de la vela(uribia - la guajira),2025,3,13728,1827,94.37,jueves,2025-03-06 20:15:00,5.8065,uribia
44,la guajira,44847,uribia,44847012,nazareth(uribia - la guajira),2025,3,35001,8022,267.36,lunes,2025-03-31 18:15:00,5.2903,uribia
47,magdalena,47189,ciénaga,47189018,palmor(ciénaga - magdalena),2025,3,106376,35328,192.77,lunes,2025-03-10 12:00:00,23.4597,ciénaga
50,meta,50325,mapiripán,50325000,mapiripan(mapiripan - meta),2025,3,201633,64069,384.12,jueves,2025-03-27 18:45:00,24.0,mapiripan
52,nariño,52250,el charco,52250005,las mercedes(el charco - nariño),2025,3,0,0,,,,0.0,el charco
52,nariño,52250,el charco,52250007,san jose del tapaje(el charco - nariño),2025,3,4394,1754,32.0,martes,2025-03-04 18:00:00,6.1129,el charco
52,nariño,52250,el charco,52250016,alteron - uribe uribe(el charco - nariño),2025,3,859,479,7.9,domingo,2025-03-16 21:00:00,5.0081,el charco
52,nariño,52250,el charco,52250022,el cuil pueblo nuevo(el charco - nariño),2025,3,402,189,29.62,sábado,2025-03-01 20:45:00,0.5161,el charco
52,nariño,52390,la tola,52390003,la vigia de la mar(la tola - nariño),2025,3,7093,3462,30.88,domingo,2025-03-02 11:45:00,10.3952,la tola
52,nariño,52390,la tola,52390005,aguacatal(la tola - nariño),2025,3,1896,401,10.77,jueves,2025-03-13 20:00:00,6.9516,la tola
52,nariño,52390,la tola,52390009,mulatos(la tola - nariño),2025,3,4437,2213,26.02,domingo,2025-03-23 18:30:00,8.0323,la tola
52,nariño,52390,la tola,52390013,amarales(la tola - nariño),2025,3,6819,2462,57.79,miércoles,2025-03-12 19:45:00,5.9435,la tola
52,nariño,52390,la tola,52390016,san pablo del mar(la tola - nariño),2025,3,6062,1952,25.5,sábado,2025-03-08 19:00:00,9.7581,la tola
52,nariño,52473,mosquera,52473010,el bajito de echandia(mosquera - nariño),2025,3,3335,1184,16.1,viernes,2025-03-07 19:30:00,9.7258,mosquera
52,nariño,52490,olaya herrera,52490913,boca de prieta(olaya herrera - nariño),2025,3,325,108,10.9,miércoles,2025-03-05 20:30:00,1.2258,olaya herrera
52,nariño,52621,roberto payán,52621912,tamaje(roberto payan - nariño),2025,3,4941,1971,26.35,jueves,2025-03-27 19:30:00,8.0403,roberto payan
52,nariño,52696,santa bárbara,52696014,la ensenada(santa bárbara - nariño),2025,3,3009,1494,21.06,miércoles,2025-03-12 19:15:00,6.129,santa bárbara
52,nariño,52696,santa bárbara,52696017,santa rita(santa bárbara - nariño),2025,3,4578,2588,33.4,lunes,2025-03-24 20:15:00,5.6129,santa bárbara
52,nariño,52835,san andrés de tumaco,52835055,bocas de curay(san andrés de tumaco - nariño),2025,3,6351,2252,55.2,lunes,2025-03-03 18:00:00,5.8306,san andrés de tumaco
52,nariño,52835,san andrés de tumaco,52835217,san juan de la costa(san andrés de tumaco - nariño),2025,3,12478,4386,121.6,viernes,2025-03-14 19:00:00,4.6694,san andrés de tumaco
76,valle del cauca,76109,buenaventura,76109011,pastico(buenaventura - valle del cauca),2025,3,3826,1592,15.45,sábado,2025-03-22 19:00:00,10.2419,buenaventura
76,valle del cauca,76109,buenaventura,76109018,concepcion(buenaventura - valle del cauca),2025,3,0,0,,,,0.0,buenaventura
76,valle del cauca,76109,buenaventura,76109028,puerto merizalde(buenaventura - valle del cauca),2025,3,100946,43716,244.99,martes,2025-03-25 19:15:00,20.2903,buenaventura
76,valle del cauca,76109,buenaventura,76109030,punta soldado(buenaventura - valle del cauca),2025,3,9434,2650,57.68,sábado,2025-03-01 18:30:00,8.3226,buenaventura
76,valle del cauca,76109,buenaventura,76109032,san francisco naya(buenaventura - valle del cauca),2025,3,8254,3424,34.98,domingo,2025-03-16 11:45:00,10.5645,buenaventura
76,valle del cauca,76109,buenaventura,76109034,san isidro - calima(buenaventura - valle del cauca),2025,3,24109,4456,93.34,jueves,2025-03-13 18:30:00,9.9355,buenaventura
76,valle del cauca,76109,buenaventura,76109040,veneral(buenaventura - valle del cauca),2025,3,6470,666,28.34,lunes,2025-03-10 19:15:00,9.8065,buenaventura
76,valle del cauca,76109,buenaventura,76109069,papayal 1(buenaventura - valle del cauca),2025,3,9552,1599,48.46,jueves,2025-03-13 18:45:00,10.5242,buenaventura
76,valle del cauca,76109,buenaventura,76109081,punta bonita(buenaventura - valle del cauca),2025,3,5755,3634,21.29,lunes,2025-03-31 19:00:00,10.4919,buenaventura
76,valle del cauca,76109,buenaventura,76109105,pital(buenaventura - valle del cauca),2025,3,4047,943,17.69,sábado,2025-03-29 18:30:00,9.2823,buenaventura
76,valle del cauca,76109,buenaventura,76109817,santa maria 1 naya(buenaventura - valle del cauca),2025,3,1624,583,10.87,sábado,2025-03-15 18:15:00,5.9435,buenaventura
76,valle del cauca,76109,buenaventura,76109863,san antonio (buenaventura - valle del cauca),2025,3,1970,546,7.64,martes,2025-03-18 07:00:00,11.2097,buenaventura
76,valle del cauca,76109,buenaventura,76109904,san antonio (rio cajambre)(buenaventura - valle del cauca),2025,3,4307,1290,29.77,viernes,2025-03-21 11:30:00,6.2984,buenaventura
76,valle del cauca,76109,buenaventura,76109907,san pablo( cajambre)(buenaventura - valle del cauca),2025,3,1965,0,19.25,sábado,2025-03-29 20:30:00,3.7903,buenaventura
